city_raw,state_abbr,adopt_by2012,mayor,pop_2003,violent_crime_2003,damage_2003,pre_label,source
"Memphis, TN",TN,0.0,1.0,653858.0,1577.1,141.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Baltimore, MD",MD,1.0,1.0,644554.0,1735.0,13.0,adopted_by2012,O'Byrne (2015) Appendix A
"Milwaukee, WI",WI,0.0,1.0,594269.0,890.2,329.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Boston, MA (City portion of Suffolk County)",MA,0.0,1.0,589795.0,1216.2,41.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Washington, DC",DC,1.0,1.0,563384.0,1568.9,24.0,adopted_by2012,O'Byrne (2015) Appendix A
"El Paso, TX",TX,0.0,1.0,586392.0,597.2,400.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Seattle, WA",WA,0.0,1.0,576296.0,684.4,1012.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Denver, City and County of, CO",CO,1.0,1.0,565905.0,597.2,27.0,adopted_by2012,O'Byrne (2015) Appendix A
"Metropolitan Government, TN",TN,1.0,1.0,554888.0,1501.6,1746.0,adopted_by2012,O'Byrne (2015) Appendix A
"Fort Worth, TX",TX,0.0,0.0,576339.0,650.8,222.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Tucson, AZ",AZ,0.0,0.0,563384.0,1568.9,196.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Portland, OR",OR,0.0,0.0,545271.0,813.5,2.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Oklahoma City, OK",OK,0.0,0.0,521681.0,889.8,905.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Las Vegas, NV",NV,0.0,0.0,517017.0,770.0,93.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"New Orleans, LA",LA,1.0,1.0,475128.0,967.3,7018.0,adopted_by2012,O'Byrne (2015) Appendix A
"Long Beach, CA",CA,0.0,0.0,477368.0,749.7,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Albuquerque, NM",NM,1.0,1.0,468764.0,947.0,16.0,adopted_by2012,O'Byrne (2015) Appendix A
"Cleveland, OH",OH,0.0,1.0,468446.0,1323.5,141.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Fresno, CA",CA,0.0,0.0,449898.0,779.1,77.0,not_adopted_by2012,O'Byrne (2015) Appendix A
"Kansas City, MO",MO,1.0,0.0,445965.0,1379.3,210.0,adopted_by2012,O'Byrne (2015) Appendix A
"Sacramento, CA",CA,1.0,0.0,439811.0,777.6,20.0,adopted_by2012,O'Byrne (2015) Appendix A
"Virginia Beach, VA",VA,1.0,0.0,439454.0,212.1,35.0,adopted_by2012,O'Byrne (2015) Appendix A
