GEOID,place_name,state_abbr,state_name,pop_2020,pop_2021,pop_2022,pop_2023,lat,lon,land_area_sqmi,place_type,funcstat
4870808,Sugar Land city,TX,Texas,110824,109629,109414,108515,29.592764,-95.633801,40.468,25,A
0665042,San Buenaventura (Ventura) city,CA,California,110620,110019,108900,109058,34.26778,-119.254206,21.873,25,A
0678120,Temecula city,CA,California,110094,111026,110860,110682,33.493073,-117.131734,37.177,25,A
0669196,Santa Maria city,CA,California,109782,110106,110088,109987,34.933076,-120.443559,22.81,25,A
2621000,Dearborn city,MI,Michigan,109620,108408,106882,105811,42.313057,-83.211488,24.247,25,A
0832155,Greeley city,CO,Colorado,109272,108661,109245,112609,40.414034,-104.771043,49.434,25,A
0684200,West Covina city,CA,California,109153,106899,105703,105617,34.055941,-117.909937,16.036,25,A
0622230,El Monte city,CA,California,109087,106841,105052,103794,34.074633,-118.029136,9.557,25,A
3268400,Sparks city,NV,Nevada,108889,109697,109293,110323,39.574341,-119.715154,36.493,25,A
1372122,South Fulton city,GA,Georgia,108211,109299,111030,110920,33.63572,-84.583417,92.954,25,A
0812815,Centennial city,CO,Colorado,108196,107384,105944,106883,39.590864,-104.863808,30.156,25,A
1368516,Sandy Springs city,GA,Georgia,108167,107295,107634,105793,33.931502,-84.368889,37.663,25,A
0807850,Boulder city,CO,Colorado,108123,104008,105620,105898,40.024431,-105.251251,26.894,25,A
0636546,Inglewood city,CA,California,107393,105307,103847,102865,33.956068,-118.344274,9.067,25,A
5531000,Green Bay city,WI,Wisconsin,107271,106387,106121,105744,44.521542,-87.986568,45.479,25,A
0608954,Burbank city,CA,California,107005,104925,103507,102755,34.190079,-118.326405,17.316,25,A
4134100,Hillsboro city,OR,Oregon,106990,106914,107281,107730,45.526798,-122.935395,25.843,25,A
5357745,Renton city,WA,Washington,106719,105467,104067,104491,47.47919,-122.194613,23.54,25,A
4874144,Tyler city,TX,Texas,106272,107378,109352,110327,32.317258,-95.305886,57.79,25,A
0621712,El Cajon city,CA,California,106075,105198,104042,102991,32.801673,-116.960468,14.51,25,A
1216475,Davie town,FL,Florida,106030,105870,106673,107799,26.079169,-80.283013,34.894,43,A
0668252,San Mateo city,CA,California,105656,102913,101567,101327,37.56031,-122.3106,12.134,25,A
4801924,Allen city,TX,Texas,105548,107053,111575,111620,33.109736,-96.673032,26.402,25,A
2509000,Brockton city,MA,Massachusetts,105511,105542,104891,104890,42.082543,-71.024638,21.333,25,A
0637692,Jurupa Valley city,CA,California,105356,106874,107113,107321,34.002591,-117.467612,42.94,25,A
3714100,Concord city,NC,North Carolina,104885,107011,108693,110119,35.392094,-80.63551,64.033,25,A
0617918,Daly City city,CA,California,104858,101856,100329,99833,37.686193,-122.468669,7.638,25,A
3563460,Rio Rancho city,NM,New Mexico,104433,106288,108755,110660,35.28507,-106.698867,103.361,25,A
0177256,Tuscaloosa city,AL,Alabama,104217,109078,110575,111338,33.234404,-87.5283,62.15,25,A
0660466,Rialto city,CA,California,104077,104235,103853,103391,34.117419,-117.389215,24.092,25,A
5367167,Spokane Valley city,WA,Washington,103531,106012,107377,108235,47.663353,-117.23278,37.72,25,A
1871000,South Bend city,IN,Indiana,103335,103137,103126,103395,41.676643,-86.268809,41.895,25,A
0646842,Menifee city,CA,California,103228,107130,110378,113433,33.689858,-117.184383,46.464,25,A
0613014,Chico city,CA,California,102755,100508,101758,101301,39.758951,-121.81772,34.521,25,A
4879000,Wichita Falls city,TX,Texas,102480,102803,102699,102691,33.906654,-98.525848,72.233,25,A
0652526,Norwalk city,CA,California,102405,100479,99079,98078,33.9076,-118.083453,9.707,25,A
0681554,Vacaville city,CA,California,102092,101927,101956,102526,38.358621,-121.968601,29.87,25,A
